Comment,Actual_Sentiment,Cleaned_Comment
"Ni mama eim pikindu 9yrs lo lakshala kotlu dochukunna dongalu mee naluguru , siggu sharam ledhu miku annam tintunara leka gaddi tintunnara idiots , rubber cheppulu, beaty parlour lu, passport broker lu, rent into unna mee naluguru vela kotlu illu, farhouse lu, 20 lakshala watchlu, kotlu karidaina carlu ekkadavi, rastra kazanani dochukunna bandi potu dongalu , siggulekunda 15 months Congress govt mi question chestaniki latkor badcow lu.",neutral,mama eim pikindu yr lakshala kotlu dochukunna dongalu mee naluguru siggu sharam ledhu miku annam tintunara leka gaddi tintunnara idiot rubber cheppulu beaty parlour passport broker rent unna mee naluguru vela kotlu illu farhouse lakshala watchlu kotlu karidaina carlu ekkadavi rastra kazanani dochukunna bandi potu dongalu siggulekunda month congress govt question chestaniki latkor badcow
Bro oru hai slu bro pls 😊,positive,bro oru hai slu bro pls
"Light Gayi 
 Very Relatable",neutral,light gayi relatable
"Biryani 🙅‍♂️
 Dry khisiri with mutton 😅",positive,biryani 🙅‍♂️ dry khisiri mutton
Dosi ku fasi habaa kathaa,neutral,dosi fasi habaa kathaa
"Yes CBN garu, you are correct no one can create brands, so only people are sleeping on road , small girls are raped from the people who has taken your brands , AP is great having a leader like you.",negative,yes cbn garu correct one create brand people sleeping road small girl raped people taken brand great leader like
Ei maa er kanna teo jodi karo buk na kepe othe ebar tader pala,neutral,maa kanna teo jodi karo buk kepe othe ebar tader pala
South Park essentially Holds a mirror up to reality and shows us just how stupid Humanity has become.,negative,south park essentially hold mirror reality show stupid humanity become
Seth Rogan is a complete shitbag who can't/refuses to even do the base minimum of an actor's job.,neutral,seth rogan complete shitbag cantrefuses even base minimum actor job
Ah the good old “if you don’t like what I like you’re a racist sexist” maneuver.,positive,good old like like racist sexist maneuver
"hated,,,,s,s.,,the actors just didnt have what it took to make me want to watch it,,,and eternals,,,same thing,,,i think my thing is,,,,my personal taste is,,,,I DONT like seeing ,,children,,kids,,or pre teens with powers,,i hate seeing the throw men around and just using their powers,,i just dont like it.... Harley Quinn with the mentality of a 5th grader,and speaking as if she has a speech impediment,( whos stupid idea was it to have h.q. talk like she does?!),,,And so thats just me,,i dont like stupid powers ,,X men comes to mind,i didnt watch all of those either,,,
 and i dont like kids with powers,,,",negative,hatedssthe actor didnt took make want watch itand eternalssame thingi think thing ismy personal taste isi dont like seeing childrenkidsor pre teen powersi hate seeing throw men around using powersi dont like harley quinn mentality graderand speaking speech impediment who stupid idea talk like doesand thats mei dont like stupid power men come mindi didnt watch either dont like kid power
"Roko's basilisk is such a dumb idea. Revenge serves no purpose, it's a waste of resources. The only purpose that punishment serves is behavior modification. If you are a total non-threat to a superintelligence (and you would be), why would it care about modifying your behavior? It wouldn't. The only incentive structure at play in this entire scenario would be for you to be maximally convinced the AI would hurt you, so you'd help it, only for it to ultimately not do so.",negative,rokos basilisk dumb idea revenge serf purpose waste resource purpose punishment serf behavior modification total nonthreat superintelligence would would care modifying behavior wouldnt incentive structure play entire scenario would maximally convinced would hurt youd help ultimately
"My guess, the BABY will be the sole WINNER. Gi hun and junhee will have to kill each other",neutral,guess baby sole winner hun junhee kill
She did have a small part in a million ways to die in the West she was I guess you can say the head prostitute,negative,small part million way die west guess say head prostitute
a 6 inch human girl? who they tryin to fool? and its only 91% human DNA they say. Gorillas have more than that haha,neutral,inch human girl tryin fool human dna say gorilla haha
Bro you sound depressed af!!! You ok?,negative,bro sound depressed
Disney doesn’t respect us anymore. Apparently we’re dumb enough to be pleased with pointless cameos and nostalgia bait,negative,disney respect anymore apparently dumb enough pleased pointless cameo nostalgia bait
Screw you guys you ruined him he sounds like crap now you can definitley tell the difference he sounds like someone doing a bad impression of him now nobody will ever top mike henry the cleveland show will always be my favorite show of all time and mike henry will always be my cleveland screw all you pc idiots,negative,screw guy ruined sound like crap definitley tell difference sound like someone bad impression nobody ever top mike henry cleveland show always favorite show time mike henry always cleveland screw idiot
"There's one storyline that is so dumb it makes me mad. When Leonard gets to go to Switzerland to see the CERN super collider, the solution was simple. Sheldon could have used his own money to fly there and go see the collider with Leonard while Leonard is still able to spend Valentine's Day with Penny. The one or the other choice was completely unnecessary. (I realize it's a sitcom and logic isn't a priority).",neutral,there one storyline dumb make mad leonard get switzerland see cern super collider solution simple sheldon could used money fly see collider leonard leonard still able spend valentine day penny one choice completely unnecessary realize sitcom logic isnt priority
Your being so nice an biased to this movie....its just a fan pleasing trash movie which the plot is stupid and makes no sense,negative,nice biased movieits fan pleasing trash movie plot stupid make sense
Women huh?,neutral,woman huh
"Agent orange was made to kill all the foliage so we could see the Vietnamese people on the ground and it ended up killing thousands of our and theres,and some lived with it for years b4 they died!",negative,agent orange made kill foliage could see vietnamese people ground ended killing thousand theresand lived year died
The saddest part of this whole video I just watched is when you said your mom took you to the prequels😂😂 I’m so old that I took acid before going to see the first prequel😫,neutral,saddest part whole video watched said mom took prequels😂😂 old took acid going see first prequel😫
Indonesians are pretty werid people... I mean who the hell jumps into a pool of water filled with crocodiles thinking he's god and won't get eaten.,neutral,indonesian pretty werid people mean hell jump pool water filled crocodile thinking he god wont get eaten
Andor sucks,negative,andor suck
"Am I the only one who thinks Miles in the second movie actually became the very character he refused to be in the first movie?
 He's willing to stay behind to get his friends home in the first movie, in the next one, he's all like ""GWEN, WE'RE A TEAM! GWEN I CAN'T LOSE YOU""
 Gosh shut up, Miles.",positive,one think mile second movie actually became character refused first movie he willing stay behind get friend home first movie next one he like gwen team gwen cant lose gosh shut mile
"Alien is a SHIT franchise.
 The only two that matter were the first two released in 1979 and 1986.
 What started as a great franchise died with a whimper.",negative,alien shit franchise two matter first two released started great franchise died whimper
Knock it off with the patron and bullshit for fucking twenty minutes … oh my God no one cares they gave three dollars oh geez ! 10 minute outro…,negative,knock patron bullshit fucking twenty minute god one care gave three dollar geez minute outro…
"The big house was actually so fucking good lol. I found out abt it 2 years ago when I came home one day and randomly seen my grandmother watching. I watched it, liked and it went to see how many episodes there were of this masterpiece. It was only like 10 💀",positive,big house actually fucking good lol found abt year ago came home one day randomly seen grandmother watching watched liked went see many episode masterpiece like
With u on the WTF...,negative,wtf
That’s because that show is stupid and badly written.,negative,show stupid badly written
9:51 Holy fuck that's gold.,negative,holy fuck thats gold
"I didnt mind the MJ missions but i did find it pretty ridiculous that she lasted longer in a fight with kraven then peter did. And then when venom was in their house, she had a faster reaction time to his punch then peter, the guy with the spider sense that allows him to dodge bullets. I get that venom doesnt doesnt trigger the spider sense in the comics but still lol",neutral,didnt mind mission find pretty ridiculous lasted longer fight kraven peter venom house faster reaction time punch peter guy spider sense allows dodge bullet get venom doesnt doesnt trigger spider sense comic still lol
"I feel like the move should be called ""twilight of the thunder god"" he doesnt die, he goes into odin sleep. He wins and kills herc, but the damage he took requires it. He lets lil chick run the show",neutral,feel like move called twilight thunder god doesnt die go odin sleep win kill herc damage took requires let lil chick run show
No Wesker = no shits given,neutral,wesker shit given
"Just MAYBE what happened to Planet Maldek, happened because they started to get some tech and decided to shoot a Message Out to Outer Space which held the Information on Their Specific Biology and how they work along with coordinates about their Specific Location and then the Entities who found that information came to their location and stripped them of ALL resources and then destroyed their planet completely to make sure they never had a chance to gain better tech and possibly come find them for revenge or to take their resources back....... But Hey, Absolutely No Civilization Could Ever Be Dumb Enough To Actually Do That INCREDIBLY DUMB Shat...... RIGHT??? Lol..... 😢😢😢",negative,maybe happened planet maldek happened started get tech decided shoot message outer space held information specific biology work along coordinate specific location entity found information came location stripped resource destroyed planet completely make sure never chance gain better tech possibly come find revenge take resource back hey absolutely civilization could ever dumb enough actually incredibly dumb shat right lol 😢😢😢
I loved seeing homelander always one step ahead and basically untouchable but by the end he couldn’t even hold his own against Maeve. Really sucks. Still loved the season tho,negative,loved seeing homelander always one step ahead basically untouchable end even hold maeve really suck still loved season tho
I really don’t know why I’m subbed to Looper. Literally the most shit takes ever.,negative,really know subbed looper literally shit take ever
When technology dies magic will be reborn and we will speak of lost times when we could use powerful stones to send and receive messages and others to destroy cities. We will be the wizards of old,negative,technology dy magic reborn speak lost time could use powerful stone send receive message others destroy city wizard old
"Just finished the first episode..and honestly you can feel the rewrites and refiguring. The opening of the show feels completely different IMO to the rest of the episode....like they shot that just to get some of the old juice from the Netflix shows flowing and then had to add the rest of the stuff they already shot and make it work. The new characters are boring and I'am honestly burnt out on the ""Superhero hangs up the cowl over guilt"" trope...I mean Matt already fought to come back as DD in season 3 and I swear to God if Frank is on the same energy...I""AM GOING TO FUCKING LOSE IT!!! JUST BE THE FUCKING PUNISHER DAMN IT!!!!",negative,finished first episodeand honestly feel rewrite refiguring opening show feel completely different imo rest episodelike shot get old juice netflix show flowing add rest stuff already shot make work new character boring iam honestly burnt superhero hang cowl guilt tropei mean matt already fought come back season swear god frank energyiam going fucking lose fucking punisher damn
If don didn’t have kids he would be a coward,negative,kid would coward
It failed cause the movie was gay af,negative,failed cause movie gay
"""Dumb Things We All Ignore"" Not one person I know said they ignore these issues.",negative,dumb thing ignore one person know said ignore issue
Idiot,negative,idiot
"conspiracy theorist: see's a pickle ""Satan!!!!!!!!!!!""",negative,conspiracy theorist see pickle satan
"NO NO NO!!! Do you want demons? Because that's how you get demons.
 
 You don't think demons will tell you what you want to hear? Appear as someone you love in an effort to corrupt your soul?
 
 Why do you think people commit suicide? Demonic forces whisper to them and make them think it's their idea. This is extraordinarily dangerous!!!!!!",negative,want demon thats get demon dont think demon tell want hear appear someone love effort corrupt soul think people commit suicide demonic force whisper make think idea extraordinarily dangerous
"Body Full Of Evidence is Madonna at her filthy, slutty best.",neutral,body full evidence madonna filthy slutty best
"Goddamn bruh. Listening to your hot as fuck ex tell you how horny you are over SJP is nuts.
 
 How the fuck do you get through these? So many distractions",negative,goddamn bruh listening hot fuck tell horny sjp nut fuck get many distraction
Shit thumbnail. Y'all suck,negative,shit thumbnail yall suck
Everything coming out of this channel is unfiltered garbage.,negative,everything coming channel unfiltered garbage
"[Verse 2]
 You scratched up the couch, you pinched my toe,
 Then stared at me blankly like I’m the weirdo.
 You knocked off my drink, then ate my snacks —
 Now I’m Googling “how to send crab-cat back.”",negative,verse scratched couch pinched toe stared blankly like weirdo knocked drink ate snack googling send crabcat back
"What sent me was Icarus killing himself in the end.
 Flying to the sun.
 Dont get me wrong, I'm not the smartest person in the planet, but I felt offended by what an idiot they think I am",negative,sent icarus killing end flying sun dont get wrong smartest person planet felt offended idiot think
"At https://www.youtube.com/watch?v=Igqr1SOYa88 you can see a fairly substantial non-pressurized habitat. A rigid arm reaches up from its roof about ten metres and attaches to a 3.2-kilometre tether.
 
 It's on Earth, and it hangs from the _side_ of the cable, not the bottom. But it can still illustrate some things.
 
 If the tether were in space, in free fall, and spinning to give the gondola one gee, the gondola could be a ""hammer habitat"". That means its floor would be cylindrically curved. Its down-hanging distance of 3 km means that its roughly 8-m-by-8-m plan amounts to an angular extent of 0.14 degrees. From its centreline the floor would curve up 0.07 degrees at two of its edges.
 
 But in space, the 3.2-km tether could be lengthened to eight to ten kilometres, reducing the floor curvature to 0.05 degrees. If you asked for a hammer habitat and they gave you one with floors that weren't curved at all, you might not notice. With a good transparent floor, and good sunlight management, you'd be more interested in the underfoot stargazing. The stars would take about a minute to wheel from the floor window's east edge to its west one.
 
 No matter how small the gondola is, it makes little sense to shorten the cable. The optimum distance from gondola roof to spin axis is somewhere in the range 3.577 km (30 rotations per hour for one gee) to 10 km (17.94 rotations per hour). Longer, if cable materials get better in terms of their ratios of working tensile strength to density. Longer and slower-spinning.
 
 Rich people are definitely going to want to own these things, and spend time in them, occasionally dropping in on Earth for short visits. Each will want the whole structure, string, hub, and all, to be their personal property. Slightly less rich people will tolerate condominium or timeshare arrangements. (Everyone will want a bottom-deck apartment because of the above-mentioned view.)
 
 So budgets for their construction will increase over time, and their sizes will increase over time.
 
 The question that should be asked is, at what point does it make sense for this growth to start to be to spinward and antispinward, so that the hammer-headiness becomes more and more noticeable, and suddenly they reach completely around the circle in which the rotation carries them, and you have a Kubrick dumbwheel? No longer dumb?
 
 That would be when everyone who is anyone wants the east and west wings each to be pi times 3.5-to-10 kilometres in extent, and meet each other at their ends.
 
 I doubt this can happen, ever.",positive,see fairly substantial nonpressurized habitat rigid arm reach roof ten metre attache kilometre tether earth hang side cable bottom still illustrate thing tether space free fall spinning give gondola one gee gondola could hammer habitat mean floor would cylindrically curved downhanging distance mean roughly mbym plan amount angular extent degree centreline floor would curve degree two edge space tether could lengthened eight ten kilometre reducing floor curvature degree asked hammer habitat gave one floor werent curved might notice good transparent floor good sunlight management youd interested underfoot stargazing star would take minute wheel floor window east edge west one matter small gondola make little sense shorten cable optimum distance gondola roof spin axis somewhere range rotation per hour one gee rotation per hour longer cable material get better term ratio working tensile strength density longer slowerspinning rich people definitely going want thing spend time occasionally dropping earth short visit want whole structure string hub personal property slightly less rich people tolerate condominium timeshare arrangement everyone want bottomdeck apartment abovementioned view budget construction increase time size increase time question asked point make sense growth start spinward antispinward hammerheadiness becomes noticeable suddenly reach completely around circle rotation carry kubrick dumbwheel longer dumb would everyone anyone want east west wing time kilometre extent meet end doubt happen ever
